t,x,z,a,z_t,a_t,d
78.61899996,"[-0.18380312621593475, 1.1320890188217163]",0.462249991,stay,0.469499993,stay,FALSE
79.2579999,"[-0.1851956844329834, 1.142681360244751]",0.469499993,stay,0.464499981,stay,FALSE
79.88999987,"[-0.18623919785022736, 1.1506034135818481]",0.464499981,stay,0.416999987,stay,FALSE
80.5309999,"[-0.18733713030815125, 1.1590474843978882]",0.416999987,stay,0.438249994,stay,FALSE
81.11699986,"[-0.18858234584331512, 1.168517827987671]",0.438249994,stay,0.45074999,stay,FALSE
81.76399994,"[-0.19013267755508423, 1.180292010307312]",0.45074999,stay,0.458749984,stay,FALSE
82.40199995,"[-0.19145382940769196, 1.1903424263000488]",0.458749984,stay,0.402249993,stay,FALSE
83.02099991,"[-0.19248424470424652, 1.1981971263885498]",0.402249993,stay,0.456749994,stay,FALSE
83.66499996,"[-0.19358715415000916, 1.2066404819488525]",0.456749994,stay,0.356249994,stay,FALSE
84.28699994,"[-0.1949964463710785, 1.217358946800232]",0.356249994,stay,0.386499989,stay,FALSE
84.91899991,"[-0.1965135931968689, 1.2289429903030396]",0.386499989,stay,0.460999992,stay,FALSE
85.55799985,"[-0.19768862426280975, 1.2378606796264648]",0.460999992,stay,0.439999986,stay,FALSE
86.18199992,"[-0.19872881472110748, 1.245788812637329]",0.439999986,stay,0.430249991,stay,FALSE
86.80299997,"[-0.1999509632587433, 1.2551515102386475]",0.430249991,stay,0.385999991,stay,FALSE
87.40499997,"[-0.2012406587600708, 1.2649517059326172]",0.385999991,stay,0.371499991,stay,FALSE
88.13799977,"[-0.20289260149002075, 1.2775259017944336]",0.371499991,stay,0.457249993,stay,FALSE
88.80599999,"[-0.20393310487270355, 1.2854511737823486]",0.457249993,stay,0.432999986,stay,FALSE
89.44999981,"[-0.20531706511974335, 1.2960399389266968]",0.432999986,stay,0.403249992,stay,FALSE
90.06099987,"[-0.20678384602069855, 1.307203769683838]",0.403249992,stay,0.398499989,stay,FALSE
90.72199988,"[-0.2080956995487213, 1.317175269126892]",0.398499989,stay,0.387749989,stay,FALSE
91.4369998,"[-0.2091631442308426, 1.3253360986709595]",0.387749989,stay,0.407749986,stay,FALSE
92.0389998,"[-0.21043507754802704, 1.335042953491211]",0.407749986,stay,0.414499988,stay,FALSE
92.68299985,"[-0.21199153363704681, 1.346889853477478]",0.414499988,stay,0.43574999,stay,FALSE
93.30099988,"[-0.21329466998577118, 1.3568121194839478]",0.43574999,stay,0.403999993,stay,FALSE
93.91699982,"[-0.214341402053833, 1.364774227142334]",0.403999993,stay,0.420999986,stay,FALSE
94.57299995,"[-0.2154500037431717, 1.3732584714889526]",0.420999986,stay,0.396249994,stay,FALSE
95.2329998,"[-0.21703048050403595, 1.385263204574585]",0.396249994,stay,0.41174999,stay,FALSE
95.92999983,"[-0.21850378811359406, 1.3964951038360596]",0.41174999,stay,0.364999991,stay,FALSE
96.61099982,"[-0.2195710986852646, 1.4046562910079956]",0.364999991,stay,0.398999989,stay,FALSE
97.32799983,"[-0.22135591506958008, 1.4182515144348145]",0.398999989,stay,0.357999992,stay,FALSE
97.99699998,"[-0.22267664968967438, 1.4283026456832886]",0.357999992,stay,0.419999988,stay,FALSE
98.6079998,"[-0.22370825707912445, 1.4361568689346313]",0.419999988,stay,0.412999994,stay,FALSE
99.30099988,"[-0.22500638663768768, 1.4460909366607666]",0.412999994,stay,0.373749989,stay,FALSE
99.98899984,"[-0.22663649916648865, 1.4585109949111938]",0.373749989,stay,0.414499988,stay,FALSE
100.6269999,"[-0.22787196934223175, 1.4678936004638672]",0.414499988,stay,0.424499988,stay,FALSE
